Code,Date,Open,High,Low,Close,Volume
ABC003500379,26/06/01,1708.89,1757.93,1705.93,1751.62,16573800
ABC003500379,27/06/01,1755.25,1769.55,1726.78,1756.02,17164000
ABC003500379,28/06/01,1782.32,1847.38,1782.32,1808.94,19529600
ABC003500379,29/06/01,1812.17,1865.36,1795.45,1832.75,20716300
ABC003500379,02/07/01,1831.42,1864.20,1815.11,1827.07,15134200
ABC003500379,03/07/01,1817.71,1832.01,1798.44,1822.16,8684300
ABC003500379,05/07/01,1800.63,1812.26,1750.51,1751.00,12906800
ABC003500379,06/07/01,1728.57,1729.57,1666.62,1668.59,14414200
ABC003500379,09/07/01,1680.88,1712.08,1669.23,1697.05,13996300
ABC003500379,10/07/01,1718.81,1719.32,1624.80,1624.95,16639700
ABC003500379,11/07/01,1617.51,1646.83,1600.19,1641.56,17702900
ABC003500379,12/07/01,1708.32,1757.29,1700.41,1750.13,18886900
ABC003500379,13/07/01,1741.36,1782.52,1723.08,1751.11,15617600
ABC003500379,16/07/01,1743.09,1758.93,1682.70,1685.74,14893500
ABC003500379,17/07/01,1675.06,1729.63,1667.48,1729.55,16956900
ABC003500379,18/07/01,1692.16,1716.16,1652.00,1666.87,17381200
ABC003500379,19/07/01,1700.56,1739.13,1674.57,1695.89,19062200
ABC003500379,20/07/01,1662.38,1690.18,1659.98,1676.46,16421200
ABC003500379,23/07/01,1695.20,1699.44,1629.74,1629.93,13565400
ABC003500379,24/07/01,1618.74,1639.56,1580.57,1604.86,16015000
ABC003500379,25/07/01,1609.37,1632.89,1581.67,1627.86,16754900
ABC003500379,26/07/01,1624.22,1679.24,1604.92,1673.39,17653900
ABC003500379,27/07/01,1673.43,1694.69,1661.12,1683.18,15838000
ABC003500379,30/07/01,1689.21,1696.34,1662.67,1670.03,13382300
ABC003500379,31/07/01,1678.71,1715.37,1665.81,1683.61,16217900
ABC003500379,01/08/01,1713.67,1743.73,1704.43,1729.53,17842200
ABC003500379,02/08/01,1758.93,1766.58,1718.94,1751.45,16759300
ABC003500379,03/08/01,1744.02,1744.02,1709.31,1725.90,12451200
ABC003500379,06/08/01,1705.88,1718.59,1700.24,1702.84,11065500
ABC003500379,07/08/01,1695.27,1717.11,1684.09,1696.37,13180200
ABC003500379,08/08/01,1681.85,1710.52,1618.77,1626.20,16616900
ABC003500379,09/08/01,1622.45,1639.54,1603.98,1628.92,14571500
ABC003500379,10/08/01,1621.50,1634.67,1576.07,1617.45,13726900
ABC003500379,13/08/01,1627.34,1657.99,1615.26,1653.27,11470400
ABC003500379,14/08/01,1665.16,1672.07,1627.61,1629.95,12318600
ABC003500379,15/08/01,1629.53,1641.84,1571.92,1572.03,14639300
ABC003500379,16/08/01,1548.30,1582.20,1526.81,1581.98,16137900
ABC003500379,17/08/01,1541.61,1556.01,1514.00,1516.58,13015100
ABC003500379,20/08/01,1518.19,1536.78,1506.53,1535.99,11657900
ABC003500379,21/08/01,1538.80,1550.20,1480.43,1480.74,13259600
ABC003500379,22/08/01,1504.65,1517.83,1467.58,1515.41,15505400
ABC003500379,23/08/01,1513.37,1542.59,1496.64,1496.98,14562900
ABC003500379,24/08/01,1521.48,1579.68,1515.34,1579.62,14956500
ABC003500379,27/08/01,1576.16,1601.97,1559.67,1578.33,11952900
ABC003500379,28/08/01,1579.55,1581.82,1526.08,1526.30,14339400
ABC003500379,29/08/01,1538.16,1541.94,1491.22,1499.76,14667000
ABC003500379,30/08/01,1472.65,1495.10,1438.91,1453.90,17348100
ABC003500379,31/08/01,1444.73,1484.99,1443.55,1469.70,12328800
ABC003500379,04/09/01,1466.32,1502.67,1424.06,1424.12,15365800
ABC003500379,05/09/01,1425.35,1440.33,1371.30,1415.30,19505800
ABC003500379,06/09/01,1392.00,1418.66,1360.57,1361.69,18878000
ABC003500379,07/09/01,1347.62,1390.12,1339.89,1354.27,17127600
ABC003500379,10/09/01,1342.08,1375.60,1339.41,1365.39,16129700
ABC003500379,17/09/01,1277.12,1310.23,1251.89,1252.70,22546200
ABC003500379,18/09/01,1268.28,1282.73,1220.99,1224.64,18649800
ABC003500379,19/09/01,1230.14,1242.73,1135.85,1208.23,24640300
ABC003500379,20/09/01,1175.10,1205.64,1160.61,1166.27,28046600
ABC003500379,21/09/01,1088.96,1160.24,1088.96,1126.95,25881500
ABC003500379,24/09/01,1166.72,1202.57,1158.86,1191.02,20522900
ABC003500379,25/09/01,1194.09,1220.39,1162.91,1187.77,21819600
ABC003500379,26/09/01,1203.44,1203.64,1141.03,1143.48,17606200
ABC003500379,27/09/01,1137.49,1153.33,1101.39,1144.27,20430900
ABC003500379,28/09/01,1158.07,1255.94,1145.76,1168.37,21143600
